model_name,evidence,precision,hard_easy,n_cells,median_cv,bbcb_agreement,nz_agreement,median_mean_ape
GPT OSS,source+SASS,fp16,easy,11.0,0.0,0.9090909090909091,0.6363636363636364,100.0
GPT OSS,source+SASS,fp16,hard,12.0,0.0,1.0,0.8181818181818182,100.0
GPT OSS,source+SASS,fp32,easy,5.0,0.3422053231939164,0.6,0.8,22.44379990949838
GPT OSS,source+SASS,fp32,hard,21.0,0.5885112216842764,0.7142857142857143,0.9047619047619048,66.79367576841348
GPT OSS,source+SASS,fp64,easy,6.0,0.3406028005800865,0.6666666666666666,0.8333333333333334,23.150540977620807
GPT OSS,source+SASS,fp64,hard,11.0,0.6427659625536246,0.6,0.7,57.03745579182835
GPT OSS,source-only,fp16,easy,11.0,0.0,1.0,1.0,100.0
GPT OSS,source-only,fp16,hard,12.0,0.0,1.0,1.0,100.0
GPT OSS,source-only,fp32,easy,5.0,0.41904262177802515,0.6,0.8,28.30988042861488
GPT OSS,source-only,fp32,hard,21.0,0.26564550486969457,0.8571428571428571,0.9047619047619048,69.69317417293203
GPT OSS,source-only,fp64,easy,6.0,0.0,0.5,0.3333333333333333,8.224768337030739
GPT OSS,source-only,fp64,hard,11.0,0.20786047608611016,0.9090909090909091,0.7272727272727273,65.36850980221799
