model_name,evidence,precision,n_cells,median_cv,bbcb_agreement,nz_agreement,median_mean_ape,invalid_rate
GPT 5.4,source+SASS,fp16,23.0,0.8720022702706676,0.8636363636363636,0.6818181818181818,87.17437494454465,0.021739130434782608
GPT 5.4,source+SASS,fp32,26.0,0.6135870047897035,0.76,0.96,58.57743638576666,0.019230769230769232
GPT 5.4,source+SASS,fp64,17.0,0.32945731041665793,0.8235294117647058,1.0,48.29865982062849,0.0
GPT 5.4,source-only,fp16,23.0,0.0,1.0,1.0,100.0,0.021739130434782608
GPT 5.4,source-only,fp32,26.0,0.21100662110584026,0.7083333333333334,1.0,61.50862600682231,0.038461538461538464
GPT 5.4,source-only,fp64,17.0,0.044358243971351845,0.8235294117647058,1.0,63.27383149551102,0.0
GPT OSS,source+SASS,fp16,22.0,0.0,0.9523809523809523,0.8095238095238095,100.0,0.0
GPT OSS,source+SASS,fp32,26.0,0.52632692608261,0.6923076923076923,1.0,69.1738189587619,0.0
GPT OSS,source+SASS,fp64,16.0,0.4099855229281579,0.6875,0.8125,69.94400703839156,0.0
GPT OSS,source-only,fp16,23.0,0.0,1.0,1.0,100.0,0.0
GPT OSS,source-only,fp32,26.0,0.2786722796325137,0.88,1.0,55.79429435207406,0.0
GPT OSS,source-only,fp64,17.0,0.03044032725097205,0.875,1.0,59.21937651440492,0.0
Opus 4.6,source+SASS,fp16,23.0,0.0007990411506192362,0.9565217391304348,1.0,13.739386065186288,0.0
Opus 4.6,source+SASS,fp32,26.0,0.19421755964358822,0.9230769230769231,1.0,22.35785331008465,0.0
Opus 4.6,source+SASS,fp64,17.0,0.07875458915624738,1.0,1.0,21.86045147200106,0.0
Opus 4.6,source-only,fp16,23.0,0.0,1.0,1.0,100.0,0.0
Opus 4.6,source-only,fp32,26.0,0.17691588591287732,0.8846153846153846,1.0,42.02453199245559,0.0
Opus 4.6,source-only,fp64,17.0,6.248717670762188e-05,1.0,1.0,56.981428207934606,0.0
